cluster_id,word,frequency,rank_in_cluster,category
7,please,603,17,Legitimacy Questioning
7,amazing,601,18,Legitimacy Questioning
7,nice,572,19,Legitimacy Questioning
7,happy,538,20,Legitimacy Questioning
8,vote,1467,1,Polarization Techniques
8,democrats,1236,2,Polarization Techniques
8,win,1047,3,Polarization Techniques
8,election,935,4,Polarization Techniques
8,republican,665,5,Polarization Techniques
8,republicans,563,6,Polarization Techniques
8,biden,521,7,Polarization Techniques
8,party,520,8,Polarization Techniques
8,poll,519,9,Polarization Techniques
8,dems,492,10,Polarization Techniques
8,democrat,443,11,Polarization Techniques
8,presidential,363,12,Polarization Techniques
8,senate,342,13,Polarization Techniques
8,radical,317,14,Polarization Techniques
8,polls,314,15,Polarization Techniques
8,court,309,16,Polarization Techniques
8,impeachment,287,17,Polarization Techniques
8,votes,264,18,Polarization Techniques
8,gop,253,19,Polarization Techniques
8,candidate,247,20,Polarization Techniques
9,hillary,865,1,Charismatic Leadership
9,campaign,571,2,Charismatic Leadership
9,clinton,531,3,Charismatic Leadership
9,russia,445,4,Charismatic Leadership
9,crooked,435,5,Charismatic Leadership
9,report,354,6,Charismatic Leadership
9,witch,347,7,Charismatic Leadership
9,hunt,340,8,Charismatic Leadership
9,corrupt,325,9,Charismatic Leadership
9,fbi,307,10,Charismatic Leadership
9,collusion,292,11,Charismatic Leadership
9,justice,267,12,Charismatic Leadership
9,mueller,245,13,Charismatic Leadership
9,hoax,244,14,Charismatic Leadership
9,paid,195,15,Charismatic Leadership
9,public,190,16,Charismatic Leadership
9,released,168,17,Charismatic Leadership
9,lies,164,18,Charismatic Leadership
9,information,163,19,Charismatic Leadership
9,comey,163,20,Charismatic Leadership
10,american,1007,1,Anti-Intellectualism
10,honor,443,2,Anti-Intellectualism
10,family,344,3,Anti-Intellectualism
10,proud,311,4,Anti-Intellectualism
10,home,282,5,Anti-Intellectualism
10,nation,275,6,Anti-Intellectualism
10,women,257,7,Anti-Intellectualism
10,friends,251,8,Anti-Intellectualism
10,attack,241,9,Anti-Intellectualism
10,god,233,10,Anti-Intellectualism
10,stand,227,11,Anti-Intellectualism
10,war,208,12,Anti-Intellectualism
10,lives,197,13,Anti-Intellectualism
10,enforcement,195,14,Anti-Intellectualism
10,police,192,15,Anti-Intellectualism
10,service,189,16,Anti-Intellectualism
10,men,177,17,Anti-Intellectualism
10,families,173,18,Anti-Intellectualism
10,veterans,152,19,Anti-Intellectualism
10,killed,149,20,Anti-Intellectualism
11,via,908,1,Moral Superiority
11,national,637,2,Moral Superiority
11,golf,497,3,Moral Superiority
11,course,444,4,Moral Superiority
11,beautiful,422,5,Moral Superiority
11,top,302,6,Moral Superiority
11,hotel,272,7,Moral Superiority
11,city,238,8,Moral Superiority
11,tower,237,9,Moral Superiority
11,building,235,10,Moral Superiority
11,scotland,212,11,Moral Superiority
11,chicago,198,12,Moral Superiority
11,star,172,13,Moral Superiority
11,nyc,170,14,Moral Superiority
11,doral,163,15,Moral Superiority
11,club,154,16,Moral Superiority
11,international,142,17,Moral Superiority
11,played,117,18,Moral Superiority
11,blue,101,19,Moral Superiority
11,brand,96,20,Moral Superiority
12,people,3001,1,Crisis Exaggeration
12,country,2083,2,Crisis Exaggeration
